City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
72,Kaset Sombun,TH,74.68,overcast clouds,16.2805,101.9542,BoonTewa Hotel
73,Owando,CG,87.85,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
74,Burnie,AU,47.25,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
75,Broome,US,76.69,few clouds,42.2506,-75.833,Chenango Valley State Park
76,Chicama,PE,66.74,few clouds,-7.8447,-79.1469,Balihai Bungalows
77,Ginda,IN,67.28,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
78,Saint Anthony,US,83.84,smoke,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
79,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
80,Tasiilaq,GL,42.57,overcast clouds,65.6145,-37.6368,The Red House
81,Talnakh,RU,71.6,overcast clouds,69.4865,88.3972,Talnakh Hotel
82,Deputatskiy,RU,35.46,scattered clouds,69.3,139.9,Baza Otdykha
83,Norman Wells,CA,51.84,moderate rain,65.282,-126.8329,Heritage Hotel
84,Faanui,PF,78.55,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,New Norfolk,AU,48.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
86,Dingle,PH,79.68,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
87,Nichinan,JP,80.76,scattered clouds,31.6,131.3667,Guest House Aki
88,Maniwaki,CA,73.67,broken clouds,46.3834,-75.966,Centre Chateau Logue
89,Iraquara,BR,81.9,clear sky,-12.2486,-41.6194,Pousada E Restaurante MKE
90,Pozoblanco,ES,90.18,clear sky,38.3791,-4.8483,Hotel Nomada
91,Aksarayskiy,RU,88.99,few clouds,46.7924,48.0119,
92,Deer Lake,CA,70.92,scattered clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
93,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Hasaki,JP,77.4,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
95,San Quintin,MX,79.52,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
96,Charlottetown,CA,75.56,clear sky,46.2352,-63.1267,Rodd Charlottetown
97,Hovd,MN,67.66,clear sky,48.0056,91.6419,Hotel Khovd
98,Bembereke,BJ,77.11,overcast clouds,10.2283,2.6634,Hotel Bio Guera
99,Mayor Pablo Lagerenza,PY,82.62,overcast clouds,-19.9309,-60.7718,
100,Vila Do Maio,CV,77.79,light rain,15.1333,-23.2167,Hotel Marilu
101,Kampene,CD,80.06,scattered clouds,-3.6,26.6667,
102,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
103,Kharan,PK,96.06,clear sky,28.5833,65.4167,Dil Aram Bangla
104,Beska,RS,83.95,few clouds,45.1297,20.0661,Hotel Park
105,Biarritz,FR,71.53,light rain,43.4801,-1.5556,Hôtel de l'ocean
106,Bengkulu,ID,75.9,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,The Valley,AI,86.09,light rain,18.217,-63.0578,CeBlue Villas & Beach Resort
108,Buraydah,SA,97.3,clear sky,26.326,43.975,فندق راحة السلام
109,Kaniama,CD,79.88,clear sky,-7.5667,24.1833,
110,Faya,SA,66.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
111,Kavieng,PG,81.14,few clouds,-2.5744,150.7967,Nusa Island Retreat
