City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Description
79,Port Elizabeth,-33.918,25.5701,68.09,31,0,5.64,ZA,clear sky
80,Tasiilaq,65.6145,-37.6368,42.57,83,100,2.17,GL,overcast clouds
81,Talnakh,69.4865,88.3972,71.6,45,100,6.35,RU,overcast clouds
82,Deputatskiy,69.3,139.9,35.46,75,46,4.07,RU,scattered clouds
83,Norman Wells,65.282,-126.8329,51.84,93,90,3.44,CA,moderate rain
84,Faanui,-16.4833,-151.75,78.55,76,50,10.02,PF,scattered clouds
85,New Norfolk,-42.7826,147.0587,48.7,81,100,1.99,AU,overcast clouds
86,Dingle,10.9995,122.6711,79.68,82,100,9.31,PH,moderate rain
87,Nichinan,31.6,131.3667,80.76,91,27,5.53,JP,scattered clouds
88,Maniwaki,46.3834,-75.966,73.67,60,66,7.25,CA,broken clouds
89,Iraquara,-12.2486,-41.6194,81.9,27,10,7.36,BR,clear sky
90,Pozoblanco,38.3791,-4.8483,90.18,17,4,6.93,ES,clear sky
91,Aksarayskiy,46.7924,48.0119,88.99,16,13,10.47,RU,few clouds
92,Deer Lake,49.1667,-57.4316,70.92,49,31,14.88,CA,scattered clouds
93,Kapaa,22.0752,-159.319,79.12,77,40,5.01,US,scattered clouds
94,Hasaki,35.7333,140.8333,77.4,90,17,10.63,JP,few clouds
95,San Quintin,30.4833,-115.95,79.52,56,0,8.68,MX,clear sky
96,Charlottetown,46.2352,-63.1267,75.56,55,0,8.99,CA,clear sky
97,Hovd,48.0056,91.6419,67.66,37,6,3.62,MN,clear sky
98,Bembereke,10.2283,2.6634,77.11,78,100,4.59,BJ,overcast clouds
99,Mayor Pablo Lagerenza,-19.9309,-60.7718,82.62,23,93,4.81,PY,overcast clouds
100,Vila Do Maio,15.1333,-23.2167,77.79,89,94,14.0,CV,light rain
101,Kampene,-3.6,26.6667,80.06,38,50,1.03,CD,scattered clouds
102,Bathsheba,13.2167,-59.5167,86.61,70,20,13.8,BB,few clouds
103,Kharan,28.5833,65.4167,96.06,8,0,6.06,PK,clear sky
104,Beska,45.1297,20.0661,83.95,25,14,3.53,RS,few clouds
105,Biarritz,43.4801,-1.5556,71.53,79,75,6.91,FR,light rain
106,Bengkulu,-3.8004,102.2655,75.9,91,84,3.0,ID,broken clouds
107,The Valley,18.217,-63.0578,86.09,79,40,12.66,AI,light rain
108,Buraydah,26.326,43.975,97.3,8,6,7.92,SA,clear sky
109,Kaniama,-7.5667,24.1833,79.88,24,1,1.72,CD,clear sky
110,Faya,18.3851,42.4509,66.72,70,52,6.8,SA,broken clouds
111,Kavieng,-2.5744,150.7967,81.14,79,16,6.02,PG,few clouds
112,Cardston,49.2,-113.3019,80.89,36,93,9.22,CA,overcast clouds
113,Pokhara,28.2333,83.9833,74.01,84,97,2.46,NP,overcast clouds
114,Atuona,-9.8,-139.0333,77.68,70,79,21.99,PF,broken clouds
115,Ribeira Grande,38.5167,-28.7,81.0,65,20,6.91,PT,few clouds
116,Kahului,20.8947,-156.47,75.85,87,40,9.22,US,light rain
117,Sao Filipe,14.8961,-24.4956,75.49,91,91,10.16,CV,overcast clouds
118,Chuy,-33.6971,-53.4616,60.1,63,0,1.41,UY,clear sky
119,Port Hedland,-20.3167,118.5667,57.25,28,55,9.22,AU,broken clouds
120,Richards Bay,-28.783,32.0377,66.63,73,1,17.9,ZA,clear sky
121,Clyde River,70.4692,-68.5914,44.83,81,75,13.8,CA,broken clouds
122,Qui Nhon,13.7667,109.2333,84.81,69,100,18.37,VN,overcast clouds
123,Alofi,-19.0595,-169.9187,74.57,55,82,13.67,NU,broken clouds
124,Ponta Do Sol,32.6667,-17.1,76.12,59,1,3.22,PT,clear sky
125,Olafsvik,64.8945,-23.7142,54.73,81,97,5.99,IS,overcast clouds
126,Kurikka,62.6167,22.4167,62.1,47,26,7.58,FI,scattered clouds
127,Rio Gallegos,-51.6226,-69.2181,44.65,53,0,18.41,AR,clear sky
128,Makakilo City,21.3469,-158.0858,75.52,73,90,6.91,US,overcast clouds
129,Palmer,42.1584,-72.3287,76.48,54,75,0.0,US,broken clouds
130,Pisco,-13.7,-76.2167,66.25,72,75,9.22,PE,broken clouds
131,Port-Cartier,50.0334,-66.8654,64.62,54,97,11.56,CA,overcast clouds
132,Leningradskiy,69.3833,178.4167,34.66,97,100,2.8,RU,overcast clouds
133,Semnan,35.5729,53.3971,80.49,35,41,8.99,IR,scattered clouds
134,Phangnga,8.4509,98.5298,81.91,94,100,6.02,TH,overcast clouds
135,Gorom-Gorom,14.4439,-0.2361,102.0,23,22,8.9,BF,few clouds
136,Pemba,-12.974,40.5178,74.1,64,20,11.5,MZ,few clouds
137,Trairi,-3.2778,-39.2689,86.65,53,60,13.09,BR,broken clouds
138,Oriximina,-1.7656,-55.8661,89.96,48,86,3.91,BR,overcast clouds
139,Soyo,-6.1349,12.3689,75.25,81,6,11.01,AO,clear sky
140,Luderitz,-26.6481,15.1594,61.81,75,3,5.23,NA,clear sky
141,Russell,32.3502,-85.1999,84.9,71,56,2.51,US,broken clouds
142,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,100,0,8.95,RU,clear sky
143,Nome,64.5011,-165.4064,62.17,82,20,9.22,US,few clouds
144,East London,-33.0153,27.9116,67.28,66,0,11.27,ZA,clear sky
145,Lavrentiya,65.5833,-171.0,47.25,98,100,7.14,RU,overcast clouds
146,Jesup,31.6074,-81.8854,82.51,69,90,0.0,US,overcast clouds
147,Saskylakh,71.9167,114.0833,53.26,74,82,6.08,RU,broken clouds
148,Airai,-8.9266,125.4092,56.75,69,46,2.89,TL,scattered clouds
149,Sabang,5.8933,95.3214,83.35,76,88,21.72,ID,overcast clouds
150,Dunedin,-45.8742,170.5036,42.8,71,6,1.01,NZ,clear sky
151,Mangan,27.5167,88.5333,77.63,90,100,1.59,IN,overcast clouds
152,Ingham,42.6,-84.3833,77.65,49,40,3.44,US,scattered clouds
153,Velsk,61.0701,42.0983,62.73,72,74,5.39,RU,broken clouds
154,Tuy Hoa,13.0833,109.3,85.39,63,100,15.39,VN,overcast clouds
155,Severobaykalsk,55.65,109.3167,53.02,89,100,2.3,RU,overcast clouds
156,Dzhebariki-Khaya,62.2167,135.8,54.36,73,1,1.01,RU,clear sky
157,Bluff,-46.6,168.3333,33.8,84,15,4.61,NZ,few clouds
158,Cabo San Lucas,22.8909,-109.9124,96.8,46,75,8.05,MX,broken clouds
159,Narsaq,60.9167,-46.05,52.02,96,100,3.33,GL,light rain
160,Mayo,38.8876,-76.5119,81.36,66,1,5.99,US,clear sky
161,Sandwick,60.0,-1.25,57.02,67,20,6.91,GB,few clouds
162,Urucara,-2.5364,-57.76,94.42,37,62,3.8,BR,broken clouds
163,Khatanga,71.9667,102.5,67.37,55,100,12.24,RU,overcast clouds
164,Viedma,-40.8135,-62.9967,63.9,37,97,9.98,AR,overcast clouds
165,Erenhot,43.6475,111.9767,73.31,35,24,19.53,CN,few clouds
166,Krasnyy Yar,46.5331,48.3456,88.97,23,7,9.17,RU,clear sky
167,Aban,56.67,96.06,61.59,86,3,2.66,RU,clear sky
168,Tromso,69.6496,18.957,54.25,82,75,1.01,NO,broken clouds
169,Parry Sound,45.3501,-80.033,76.87,60,77,8.99,CA,broken clouds
170,Ayios Nikolaos,38.4167,23.65,101.53,11,0,9.22,GR,clear sky
171,Ancud,-41.8697,-73.8203,51.33,60,78,4.88,CL,broken clouds
172,Belaya Gora,68.5333,146.4167,40.84,66,17,6.13,RU,few clouds
173,Esperance,-33.8667,121.9,52.63,73,23,9.78,AU,few clouds
174,Comodoro Rivadavia,-45.8667,-67.5,58.86,23,0,5.75,AR,clear sky
175,Smithers,54.7804,-127.1743,64.72,52,75,5.75,CA,broken clouds
176,Algiers,36.7525,3.042,78.62,78,75,11.5,DZ,broken clouds
177,Lompoc,34.6391,-120.4579,92.12,79,20,8.05,US,few clouds
178,Constitucion,-35.3333,-72.4167,61.07,56,35,2.75,CL,scattered clouds
179,Meulaboh,4.1363,96.1285,77.4,88,75,5.28,ID,broken clouds
180,Nikolskoye,59.7035,30.7861,60.78,85,31,8.1,RU,scattered clouds
181,Banda Aceh,5.5577,95.3222,80.29,79,70,13.76,ID,broken clouds
182,Altagracia De Orituco,9.8601,-66.3814,82.38,62,62,9.35,VE,broken clouds
183,Broken Hill,-31.95,141.4333,42.08,83,0,9.84,AU,clear sky
184,Haines Junction,60.7522,-137.5108,55.35,88,100,2.3,CA,overcast clouds
185,Kloulklubed,7.0419,134.2556,83.89,75,100,11.21,PW,overcast clouds
186,Arraial Do Cabo,-22.9661,-42.0278,80.56,73,20,18.41,BR,few clouds
187,Yellowknife,62.456,-114.3525,65.32,72,90,4.0,CA,overcast clouds
188,Cochrane,51.1834,-114.4687,84.85,46,20,5.75,CA,haze
189,Longyearbyen,78.2186,15.6401,46.24,61,40,17.27,SJ,scattered clouds
190,Mahebourg,-20.4081,57.7,68.29,64,20,12.66,MU,few clouds
191,Novouzensk,50.4592,48.1431,89.94,14,23,9.33,RU,few clouds
192,Kingaroy,-26.5333,151.8333,54.03,48,75,9.62,AU,broken clouds
193,Tuatapere,-46.1333,167.6833,33.82,91,20,3.94,NZ,few clouds
194,Eskisehir,39.7767,30.5206,87.71,23,0,11.5,TR,clear sky
195,Shingu,33.7333,135.9833,78.91,93,50,4.34,JP,scattered clouds
196,Katsuura,35.1333,140.3,82.51,88,12,7.96,JP,few clouds
197,Koulamoutou,-1.1303,12.4736,86.02,37,72,2.68,GA,broken clouds
198,Souillac,-20.5167,57.5167,68.38,64,20,12.66,MU,few clouds
199,Kaeo,-35.1,173.7833,48.33,81,4,5.17,NZ,clear sky
200,Ahipara,-35.1667,173.1667,52.45,73,12,10.98,NZ,few clouds
201,Owerri,5.4833,7.0304,76.59,81,98,6.49,NG,moderate rain
202,Bonfim,3.0833,-59.95,80.46,74,98,6.55,BR,overcast clouds
203,Sitka,57.0531,-135.33,60.69,77,90,0.0,US,light rain
204,Yarkovo,57.4028,67.0786,63.75,78,87,4.85,RU,overcast clouds
205,Kushmurun,52.4503,64.6311,68.95,73,64,8.41,KZ,broken clouds
206,Norwich,52.6278,1.2983,67.93,54,0,5.99,GB,clear sky
207,Necochea,-38.5473,-58.7368,67.03,45,29,5.5,AR,scattered clouds
208,Kirsanov,52.6549,42.7224,66.79,89,84,1.72,RU,broken clouds
209,Amapa,1.0,-52.0,88.83,46,44,2.17,BR,scattered clouds
210,Arona,28.0996,-16.681,70.32,63,20,5.01,ES,few clouds
211,Saint-Francois,46.4154,3.9054,63.48,87,75,4.61,FR,broken clouds
212,San Juan,-31.5375,-68.5364,68.18,20,1,3.87,AR,clear sky
213,Chokurdakh,70.6333,147.9167,34.75,76,74,6.91,RU,broken clouds
214,Butaritari,3.0707,172.7902,77.47,88,90,8.48,KI,moderate rain
215,Simbahan,6.3032,120.5836,84.18,78,97,12.12,PH,overcast clouds
216,Kavaratti,10.5669,72.642,81.95,80,91,13.62,IN,overcast clouds
217,Merauke,-8.4667,140.3333,74.43,85,54,9.64,ID,broken clouds
218,Raga,8.4596,25.678,71.17,93,58,4.16,SS,broken clouds
219,Mikhaylovka,50.06,43.2379,77.09,56,88,15.95,RU,light rain
220,Santa Cruz,-17.8,-63.1667,78.26,29,75,17.27,BO,broken clouds
